startup_name,industry,funding_rounds,funding_amount_m,valuation_m,revenue_m,employees,funding_per_employee_m,revenue_per_employee_m,market_share,profitable,estimated_costs_m,profit_m,profit_margin,funding_efficiency,roi_percent,year_founded,startup_age,region,exit_status,ROI_norm,FundingEff_norm,Valuation_norm,RevenuePerEmp_norm,Age_norm,ROI_risk,FundingEff_risk,Valuation_risk,RevenuePerEmp_risk,Age_risk,ProfitMargin_risk,Exit_Adjustment,Risk_Score,risk_category
Startup_1,IoT,1,101.09,844.75,67.87,1468,0.069,0.046,5.2,0,54.3,13.57,20,0.67,735.64,2006,16,Europe,Private,0.448391903,0.006669321,0.193411801,0.017685506,0.5,0.551608097,0.993330679,0.806588199,0.982314494,0.5,1,0.05,0.804903564,High Risk
Startup_2,EdTech,1,247.62,3310.83,75.65,3280,0.075,0.023,8.1,1,30.26,45.39,60,0.31,1237.06,2003,19,South America,Private,0.868137756,0.003085805,0.759668064,0.008842753,0.59375,0.131862244,0.996914195,0.240331936,0.991157247,0.40625,0,0.05,0.507696777,Very Low Risk
Startup_3,EdTech,1,109.24,1059.37,84.21,4933,0.022,0.017,2.61,1,33.68,50.53,60,0.77,869.76,1995,27,South America,Private,0.560665673,0.007664742,0.242692408,0.006535948,0.84375,0.439334327,0.992335258,0.757307592,0.993464052,0.15625,0,0.05,0.63654138,Medium Risk
Startup_4,Gaming,5,10.75,101.9,47.08,1059,0.01,0.044,2.53,0,37.66,9.42,20,4.38,847.91,2003,19,South America,Private,0.542374726,0.043599443,0.022840099,0.016916571,0.59375,0.457625274,0.956400557,0.977159901,0.983083429,0.40625,1,0.05,0.79034793,High Risk
Startup_5,IoT,4,249.28,850.11,50.25,1905,0.131,0.026,4.09,0,40.2,10.05,20,0.2,241.03,1997,25,Europe,Acquired,0.0343468,0.001990842,0.194642554,0.009996155,0.78125,0.9656532,0.998009158,0.805357446,0.990003845,0.21875,1,-0.05,0.782194325,High Risk
Startup_6,AI,5,103.89,1541.76,12.56,1462,0.071,0.009,8.96,1,5.02,7.54,60,0.12,1384.03,2004,18,Europe,IPO,0.991168444,0.001194505,0.353457817,0.003460208,0.5625,0.008831556,0.998805495,0.646542183,0.996539792,0.4375,0,0,0.492181284,Very Low Risk
Startup_7,Gaming,4,232.26,1039.51,38.6,1404,0.165,0.027,0.1,0,30.88,7.72,20,0.17,347.56,2016,6,Australia,Private,0.123524586,0.001692216,0.238132196,0.010380623,0.1875,0.876475414,0.998307784,0.761867804,0.989619377,0.8125,1,0.05,0.912753488,Very High Risk
Startup_8,HealthTech,5,109.15,630.19,64.37,3420,0.032,0.019,9.02,1,25.75,38.62,60,0.59,477.36,2002,20,Australia,IPO,0.232182022,0.005872984,0.144144972,0.007304883,0.625,0.767817978,0.994127016,0.855855028,0.992695117,0.375,0,0,0.705562419,Medium Risk
Startup_9,Gaming,5,258.39,935.47,78.06,447,0.578,0.175,1.62,0,62.45,15.61,20,0.3,262.04,2020,2,North America,Acquired,0.051934571,0.002986263,0.214242743,0.067281815,0.0625,0.948065429,0.997013737,0.785757257,0.932718185,0.9375,1,-0.05,0.837940421,High Risk
Startup_10,FinTech,3,66.24,707.45,21.8,3655,0.018,0.006,9.9,0,17.44,4.36,20,0.33,968.01,1995,27,Europe,Private,0.642912153,0.00328489,0.161885255,0.002306805,0.84375,0.357087847,0.99671511,0.838114745,0.997693195,0.15625,1,0.05,0.729611175,Medium Risk
Startup_11,AI,5,292.38,1665.52,13.87,4657,0.063,0.003,9.55,0,11.1,2.77,20,0.05,469.64,1994,28,Europe,Private,0.2257195,0.000497711,0.381875336,0.001153403,0.875,0.7742805,0.999502289,0.618124664,0.998846597,0.125,1,0.05,0.798516272,High Risk
Startup_12,FinTech,2,234.04,1207.68,66.34,1183,0.198,0.056,5,0,53.07,13.27,20,0.28,416.01,2011,11,Europe,Private,0.18082506,0.002787179,0.276747048,0.021530181,0.34375,0.81917494,0.997212821,0.723252952,0.978469819,0.65625,1,0.05,0.875119715,Very High Risk
Startup_13,IoT,3,34.71,141.02,0.29,4463,0.008,0,5.18,1,0.12,0.17,60,0.01,306.28,2012,10,Australia,Acquired,0.088968508,9.95E-05,0.031822753,0,0.3125,0.911031492,0.999900458,0.968177247,1,0.6875,0,-0.05,0.741714552,Medium Risk
Startup_14,Cybersecurity,5,169.95,720.54,17.92,1262,0.135,0.014,4.87,0,14.34,3.58,20,0.11,323.97,2014,8,South America,Acquired,0.10377706,0.001094963,0.164890954,0.005382545,0.25,0.89622294,0.998905037,0.835109046,0.994617455,0.75,1,-0.05,0.823295717,High Risk
Startup_15,FinTech,1,295.62,2960.94,3,3639,0.081,0.001,6.39,1,1.2,1.8,60,0.01,901.6,2015,7,Asia,Acquired,0.587319393,9.95E-05,0.679327036,0.000384468,0.21875,0.412680607,0.999900458,0.320672964,0.999615532,0.78125,0,-0.05,0.529318518,Very Low Risk
Startup_16,HealthTech,2,141.58,1593.98,16.77,1846,0.077,0.009,1,1,6.71,10.06,60,0.12,1025.85,1994,28,Australia,Private,0.691330844,0.001194505,0.365448467,0.003460208,0.875,0.308669156,0.998805495,0.634551533,0.996539792,0.125,0,0.05,0.584092087,Low Risk
Startup_17,Gaming,2,55.04,427.58,18.21,2314,0.024,0.008,0.42,0,14.57,3.64,20,0.33,676.85,2015,7,Europe,Private,0.399177954,0.00328489,0.097622076,0.00307574,0.21875,0.600822046,0.99671511,0.902377924,0.99692426,0.78125,1,0.05,0.862568861,Very High Risk
Startup_18,Cybersecurity,2,145.69,1276.06,38.83,915,0.159,0.042,0.67,1,15.53,23.3,60,0.27,775.87,2009,13,Australia,Private,0.482069012,0.002687637,0.292448324,0.016147636,0.40625,0.517930988,0.997312363,0.707551676,0.983852364,0.59375,0,0.05,0.692030826,Medium Risk
